method,size_bytes,rep,elapsed_ms,throughput_mib_s
file-disk,16777216,9,14.055,1138.395
file-disk,16777216,10,13.555,1180.336
file-disk,16777216,11,17.516,913.427
file-disk,16777216,12,16.022,998.624
file-disk,16777216,13,13.902,1150.896
file-disk,16777216,14,13.580,1178.192
file-disk,16777216,15,13.344,1199.018
file-disk,16777216,16,17.965,890.598
file-disk,16777216,17,15.208,1052.087
file-disk,16777216,18,14.063,1137.741
file-disk,16777216,19,17.780,899.906
file-disk,16777216,20,15.403,1038.759
